GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
DOK1,11.5,yes,no,no,yes,no,yes,yes,yes,yes,1
CRKL,11,yes,no,no,yes,no,yes,yes,no,yes,2
DOK2,10.5,yes,no,no,yes,no,yes,yes,yes,no,3
PXN,10.5,yes,no,yes,yes,yes,no,yes,yes,yes,4
CBL,10,yes,no,yes,yes,yes,no,yes,no,yes,5
LASP1,9.5,no,no,yes,yes,no,yes,yes,yes,yes,6
SHB,9,yes,no,no,yes,no,yes,no,no,no,7
CRK,8.5,yes,no,no,yes,no,no,yes,yes,yes,8
GAB1,8.5,yes,no,yes,yes,no,no,yes,yes,no,9
BCAR1,8.5,no,no,yes,yes,no,yes,yes,yes,no,10
PTK2,8,yes,no,yes,yes,no,no,yes,no,no,11
STAT5A,8,yes,no,yes,yes,no,no,yes,no,no,12
ABL1,8,yes,no,no,yes,yes,no,yes,no,no,13
ABL2,8,yes,no,no,yes,no,no,yes,no,yes,14
PSMC1,7.5,yes,no,no,yes,no,no,yes,yes,no,15
CRMP1,7.5,yes,no,no,yes,yes,no,no,yes,no,16
PSMC6,7.5,yes,no,no,yes,no,no,yes,yes,no,17
DAB1,7.5,yes,no,yes,no,yes,no,yes,yes,yes,18
EFS,7.5,no,no,no,yes,no,yes,yes,yes,no,19
NEDD9,7.5,no,no,no,yes,no,yes,yes,yes,no,20
DCBLD2,7.5,no,no,no,yes,no,yes,yes,yes,no,21
CASS4,7.5,no,no,no,yes,no,yes,yes,yes,no,22
GRB2,7,yes,no,no,yes,no,no,yes,no,no,23
CTNNB1,7,yes,no,no,yes,no,no,no,no,yes,24
KIT,7,yes,no,no,yes,no,no,yes,no,no,25
ERBB3,7,yes,no,no,yes,no,no,yes,no,no,26
LYN,7,yes,no,no,yes,no,no,yes,no,no,27
PDGFRA,7,yes,no,no,yes,no,no,yes,no,no,28
HCK,7,yes,no,no,yes,no,no,yes,no,no,29
KDR,7,yes,no,no,yes,no,no,yes,no,no,30
PLK1,7,yes,no,no,yes,no,no,no,no,yes,31
STAT5B,7,yes,no,yes,yes,no,no,no,no,no,32
PLCG1,7,yes,no,yes,yes,no,no,no,no,no,33
ARHGAP35,7,yes,no,yes,yes,no,no,no,no,no,34
EFNB1,7,yes,no,yes,yes,no,no,no,no,no,35
PLEC,7,yes,no,no,yes,no,no,yes,no,no,36
INPPL1,7,yes,no,no,yes,no,no,yes,no,no,37
TUBA1C,7,yes,no,no,yes,no,no,yes,no,no,38
EMD,7,no,no,yes,yes,no,yes,no,no,no,39
WBP2,7,no,no,yes,yes,no,yes,no,no,no,40
TJP1,6.5,yes,no,no,yes,no,no,no,yes,no,41
DPYSL2,6.5,yes,no,no,yes,no,no,no,yes,no,42
FERMT2,6.5,yes,no,no,yes,no,no,no,yes,no,43
ABLIM1,6.5,yes,no,no,yes,no,no,no,yes,no,44
TJP2,6.5,yes,no,no,yes,no,no,no,yes,no,45
EFNA2,6.5,yes,no,no,no,no,yes,no,yes,no,46
HNRNPL,6.5,no,no,no,yes,no,yes,no,yes,no,47
TUBA3E,6,yes,no,no,yes,no,no,no,no,no,48
TUBA4A,6,yes,no,no,yes,no,no,no,no,no,49
ACTG1,6,yes,no,no,yes,no,no,no,no,no,50
VCL,6,yes,no,no,yes,no,no,no,no,no,51
ITGB1,6,yes,no,no,yes,no,no,no,no,no,52
KIRREL,6,yes,no,no,yes,no,no,no,no,no,53
MAPK3,6,yes,no,no,yes,no,no,no,no,no,54
EPHA7,6,yes,no,no,yes,no,no,no,no,no,55
JUP,6,yes,no,no,yes,no,no,no,no,no,56
EPHA4,6,yes,no,no,yes,no,no,no,no,no,57
GSK3B,6,yes,no,no,yes,no,no,no,no,no,58
EPHB4,6,yes,no,no,yes,no,no,no,no,no,59
EFNB2,6,yes,no,no,yes,no,no,no,no,no,60
EPHA2,6,yes,no,no,yes,no,no,no,no,no,61
GRB10,6,yes,no,no,yes,no,no,no,no,no,62
EPHB3,6,yes,no,no,yes,no,no,no,no,no,63
MAPT,6,yes,no,no,yes,no,no,no,no,no,64
EPHA3,6,yes,no,no,yes,no,no,no,no,no,65
EPHB1,6,yes,no,no,yes,no,no,no,no,no,66
ACIN1,6,yes,no,no,yes,no,no,no,no,no,67
F11R,6,yes,no,no,yes,no,no,no,no,no,68
CTNND1,6,yes,no,no,yes,no,no,no,no,no,69
EPHB2,6,yes,no,no,yes,no,no,no,no,no,70
TUBA1A,6,yes,no,no,yes,no,no,no,no,no,71
TUBA8,6,yes,no,no,yes,no,no,no,no,no,72
TUBA1B,6,yes,no,no,yes,no,no,no,no,no,73
GAB2,6,yes,no,no,yes,no,no,no,no,no,74
VASP,6,yes,no,no,yes,no,no,no,no,no,75
STIP1,6,yes,no,no,yes,no,no,no,no,no,76
TUBA3C,6,yes,no,no,yes,no,no,no,no,no,77
ACTB,6,yes,no,no,yes,no,no,no,no,no,78
PSMA2,6,yes,no,no,yes,no,no,no,no,no,79
AKAP9,6,yes,no,no,yes,no,no,no,no,no,80
FKBP4,6,yes,no,no,yes,no,no,no,no,no,81
CLDN3,6,yes,no,no,yes,no,no,no,no,no,82
CD2AP,6,yes,no,no,yes,no,no,no,no,no,83
PKP1,6,yes,no,no,yes,no,no,no,no,no,84
SYK,6,yes,no,no,yes,no,no,no,no,no,85
SPTAN1,6,yes,no,no,no,no,yes,no,no,no,86
PSMB4,6,yes,no,no,no,no,yes,no,no,no,87
PSMB7,6,yes,no,no,no,no,yes,no,no,no,88
CAPZB,6,yes,no,no,no,no,yes,no,no,no,89
BLNK,6,yes,no,no,no,no,yes,no,no,no,90
EGFR,6,yes,no,yes,no,no,no,yes,no,yes,91
RBMX,6,no,no,no,yes,no,yes,no,no,no,92
GAGE1,6,no,no,no,yes,no,yes,no,no,no,93
TMEM192,6,no,no,no,yes,no,yes,no,no,no,94
KIAA1143,6,no,no,no,yes,no,yes,no,no,no,95
ATP5I,6,no,no,no,yes,no,yes,no,no,no,96
GAGE4,6,no,no,no,yes,no,yes,no,no,no,97
GAGE6,6,no,no,no,yes,no,yes,no,no,no,98
RBMXL1,6,no,no,no,yes,no,yes,no,no,no,99
APP,6,no,no,yes,yes,yes,no,no,no,yes,100
CAV1,6,no,no,yes,yes,yes,no,no,no,yes,101
PLSCR1,6,no,no,yes,no,no,yes,yes,no,yes,102
NCKIPSD,5.5,no,no,yes,yes,no,no,yes,yes,no,103
NUMA1,5,no,no,no,yes,no,no,yes,no,yes,104
PLCG2,5,no,no,yes,yes,yes,no,no,no,no,105
ZAP70,5,no,no,no,yes,no,no,yes,no,yes,106
SRCIN1,5,no,no,no,yes,no,no,yes,no,yes,107
CD5,5,no,no,no,yes,yes,no,yes,no,no,108
CTLA4,5,no,no,no,no,yes,yes,yes,no,no,109
SHC3,4.5,yes,no,yes,no,no,no,no,yes,no,110
RB1,4.5,no,no,no,yes,no,no,no,yes,yes,111
CEP170,4.5,no,no,no,yes,no,no,yes,yes,no,112
SH2D2A,4.5,no,no,no,yes,no,no,yes,yes,no,113
RIN1,4.5,no,no,no,yes,no,no,no,yes,yes,114
NR5A1,4.5,no,no,no,no,no,yes,yes,yes,no,115
TBX21,4.5,no,no,no,no,no,yes,no,yes,yes,116
SRRT,4.5,no,no,yes,no,no,yes,no,yes,no,117
LGALS3,4.5,no,no,no,no,no,yes,no,yes,yes,118
SRC,4,yes,no,no,no,no,no,yes,no,no,119
FYN,4,yes,no,no,no,no,no,yes,no,no,120
PIK3CA,4,yes,no,no,no,no,no,yes,no,no,121
SOS1,4,yes,no,no,no,no,no,yes,no,no,122
PRKACA,4,yes,no,no,no,no,no,yes,no,no,123
ERBB4,4,yes,no,no,no,no,no,yes,no,no,124
NCK2,4,yes,no,no,no,no,no,yes,no,no,125
IRS1,4,yes,no,no,no,no,no,yes,no,no,126
FGFR1,4,yes,no,no,no,no,no,yes,no,no,127
ERBB2,4,yes,no,no,no,no,no,yes,no,no,128
PDGFRB,4,yes,no,no,no,no,no,yes,no,no,129
PIK3R3,4,yes,no,no,no,no,no,yes,no,no,130
NCK1,4,yes,no,no,no,no,no,yes,no,no,131
MET,4,yes,no,no,no,no,no,yes,no,no,132
DNM2,4,yes,no,no,no,no,no,yes,no,no,133
MAPK1,4,yes,no,no,no,no,no,yes,no,no,134
NCAM1,4,yes,no,no,no,no,no,yes,no,no,135
YWHAB,4,yes,no,no,no,no,no,yes,no,no,136
DLG4,4,yes,no,no,no,no,no,no,no,yes,137
HRAS,4,yes,no,no,no,no,no,no,no,yes,138
MAPK8,4,yes,no,no,no,no,no,yes,no,no,139
NFASC,4,yes,no,no,no,no,no,yes,no,no,140
TP53,4,yes,no,no,no,no,no,yes,no,no,141
SEMA4D,4,yes,no,no,no,no,no,yes,no,no,142
CDH11,4,yes,no,no,no,no,no,yes,no,no,143
GRIN2D,4,yes,no,no,no,no,no,yes,no,no,144
RAF1,4,yes,no,no,no,no,no,yes,no,no,145
ARHGEF11,4,yes,no,no,no,no,no,yes,no,no,146
CNTNAP1,4,yes,no,no,no,no,no,yes,no,no,147
RAPGEF1,4,yes,no,no,no,no,no,yes,no,no,148
AP2A1,4,yes,no,no,no,no,no,yes,no,no,149
FLNC,4,yes,no,no,no,no,no,yes,no,no,150
AR,4,yes,no,no,no,no,no,yes,no,no,151
FLNA,4,yes,no,no,no,no,no,yes,no,no,152
TRIO,4,yes,no,no,no,yes,no,no,no,no,153
PIK3CB,4,yes,no,no,no,no,no,yes,no,no,154
WASL,4,yes,no,no,no,no,no,yes,no,no,155
CSF2RB,4,yes,no,yes,no,no,no,no,no,no,156
NPHS1,4,yes,no,no,no,yes,no,no,no,no,157
SOS2,4,yes,no,no,no,no,no,yes,no,no,158
VAV1,4,yes,no,no,no,no,no,yes,no,no,159
DOCK1,4,yes,no,no,no,no,no,yes,no,no,160
FLT1,4,no,no,no,yes,no,no,yes,no,no,161
PLEKHA1,4,no,no,no,yes,no,no,yes,no,no,162
TNK2,4,no,no,no,yes,no,no,yes,no,no,163
HNRNPR,4,no,no,no,yes,no,no,yes,no,no,164
CBLB,4,no,no,no,yes,no,no,yes,no,no,165
ARHGAP5,4,no,no,yes,yes,no,no,no,no,no,166
ADD2,4,no,no,no,yes,yes,no,no,no,no,167
FLT4,4,no,no,yes,yes,no,no,no,no,no,168
DCP2,4,no,no,no,yes,no,no,yes,no,no,169
AKAP2,4,no,no,no,yes,no,no,yes,no,no,170
FLNB,4,no,no,no,yes,no,no,yes,no,no,171
RACK1,4,no,no,no,yes,no,no,no,no,yes,172
ARHGDIB,4,no,no,yes,yes,no,no,no,no,no,173
TRIP6,4,no,no,yes,yes,no,no,no,no,no,174
HSPD1,4,no,no,no,yes,no,no,yes,no,no,175
PPP1R12A,4,no,no,no,yes,no,no,yes,no,no,176
PEAK1,4,no,no,no,yes,no,no,yes,no,no,177
CEP89,4,no,no,no,yes,no,no,yes,no,no,178
CNN1,4,no,no,no,yes,yes,no,no,no,no,179
ARAP3,4,no,no,yes,yes,no,no,no,no,no,180
CHAC2,4,no,no,no,no,no,yes,yes,no,no,181
NF1,3.5,yes,no,no,no,no,no,no,yes,no,182
DBNL,3.5,yes,yes,no,no,no,no,no,no,no,183
CDH8,3.5,yes,no,no,no,no,no,no,yes,no,184
SEMA6D,3.5,yes,no,no,no,no,no,no,yes,no,185
NRCAM,3.5,yes,no,no,no,no,no,no,yes,no,186
DSCAM,3.5,yes,no,no,no,no,no,no,yes,no,187
APBB1IP,3.5,yes,no,no,no,no,no,no,yes,no,188
CLTC,3.5,yes,no,no,no,no,no,no,yes,no,189
RPS6KA4,3.5,yes,no,no,no,no,no,no,yes,no,190
DCTN1,3.5,yes,no,no,no,no,no,no,yes,no,191
DNAJA4,3.5,yes,no,no,no,no,no,no,yes,no,192
COL4A2,3.5,yes,no,no,no,no,no,no,yes,no,193
NR3C2,3.5,yes,no,no,no,no,no,no,yes,no,194
PSMB6,3.5,yes,no,no,no,no,no,no,yes,no,195
KBTBD7,3.5,yes,no,no,no,no,no,no,yes,no,196
RASA2,3.5,yes,no,no,no,no,no,no,yes,no,197
IL5,3.5,yes,no,no,no,no,no,no,yes,no,198
CNKSR2,3.5,yes,no,no,no,no,no,no,yes,no,199
SKAP2,3.5,yes,yes,no,no,no,no,no,no,no,200
PTK2B,3.5,yes,yes,no,no,no,no,no,no,no,201
ITGA1,3.5,yes,no,no,no,no,no,no,yes,no,202
COL4A4,3.5,yes,no,no,no,no,no,no,yes,no,203
MAGI2,3.5,yes,no,no,no,no,no,no,yes,no,204
ARPC3,3.5,yes,no,no,no,no,no,no,yes,no,205
FASN,3.5,no,no,no,yes,no,no,no,yes,no,206
PTPN23,3.5,no,no,no,yes,no,no,no,yes,no,207
SIN3A,3.5,no,no,no,yes,no,no,no,yes,no,208
DDR1,3.5,no,no,no,yes,no,no,no,yes,no,209
CPSF6,3.5,no,no,no,yes,no,no,no,yes,no,210
CTNND2,3.5,no,no,no,yes,no,no,no,yes,no,211
PALMD,3.5,no,no,no,yes,no,no,no,yes,no,212
