GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
PLXNC1,3,yes,no,no,no,no,no,no,no,no,397
EPHA1,3,yes,no,no,no,no,no,no,no,no,398
CLDN14,3,yes,no,no,no,no,no,no,no,no,399
EZR,3,yes,no,no,no,no,no,no,no,no,400
CACNA1C,3,yes,no,no,no,no,no,no,no,no,401
SLIT1,3,yes,no,no,no,no,no,no,no,no,402
NRP2,3,yes,no,no,no,no,no,no,no,no,403
NRP1,3,yes,no,no,no,no,no,no,no,no,404
DYNC1H1,3,yes,no,no,no,no,no,no,no,no,405
CACNA1S,3,yes,no,no,no,no,no,no,no,no,406
MAPK11,3,yes,no,no,no,no,no,no,no,no,407
MAPK13,3,yes,no,no,no,no,no,no,no,no,408
CADM1,3,yes,no,no,no,no,no,no,no,no,409
PLXNB1,3,yes,no,no,no,no,no,no,no,no,410
DLG3,3,yes,no,no,no,no,no,no,no,no,411
AFDN,3,yes,no,no,no,no,no,no,no,no,412
PRKCI,3,yes,no,no,no,no,no,no,no,no,413
CDH10,3,yes,no,no,no,no,no,no,no,no,414
ADAM10,3,yes,no,no,no,no,no,no,no,no,415
CLDN5,3,yes,no,no,no,no,no,no,no,no,416
PRKCA,3,yes,no,no,no,no,no,no,no,no,417
MYO10,3,yes,no,no,no,no,no,no,no,no,418
EPHB6,3,yes,no,no,no,no,no,no,no,no,419
IQGAP1,3,yes,no,no,no,no,no,no,no,no,420
PSMD1,3,yes,no,no,no,no,no,no,no,no,421
PSME4,3,yes,no,no,no,no,no,no,no,no,422
PSMC5,3,yes,no,no,no,no,no,no,no,no,423
PSMC4,3,yes,no,no,no,no,no,no,no,no,424
PSMD2,3,yes,no,no,no,no,no,no,no,no,425
PSMA3,3,yes,no,no,no,no,no,no,no,no,426
MARK3,3,yes,no,no,no,no,no,no,no,no,427
ARRB2,3,yes,no,no,no,no,no,no,no,no,428
IRS2,3,yes,no,no,no,no,no,no,no,no,429
RASA1,3,yes,no,no,no,no,no,no,no,no,430
RASGRF2,3,yes,no,no,no,no,no,no,no,no,431
RASAL1,3,yes,no,no,no,no,no,no,no,no,432
ROCK1,3,yes,no,no,no,no,no,no,no,no,433
DAB2IP,3,yes,no,no,no,no,no,no,no,no,434
KSR1,3,yes,no,no,no,no,no,no,no,no,435
SPRED1,3,yes,no,no,no,no,no,no,no,no,436
FGA,3,yes,no,no,no,no,no,no,no,no,437
RASGRP1,3,yes,no,no,no,no,no,no,no,no,438
MAP3K11,3,yes,no,no,no,no,no,no,no,no,439
GFRA1,3,yes,no,no,no,no,no,no,no,no,440
IQGAP2,3,yes,no,no,no,no,no,no,no,no,441
CACNA1D,3,yes,no,no,no,no,no,no,no,no,442
PLXNA2,3,yes,no,no,no,no,no,no,no,no,443
UNC5D,3,yes,no,no,no,no,no,no,no,no,444
SCN1A,3,yes,no,no,no,no,no,no,no,no,445
DNM3,3,yes,no,no,no,no,no,no,no,no,446
STK24,3,yes,no,no,no,no,no,no,no,no,447
PATJ,3,yes,no,no,no,no,no,no,no,no,448
ARHGAP39,3,yes,no,no,no,no,no,no,no,no,449
KPNB1,3,yes,no,no,no,no,no,no,no,no,450
DNAJA1,3,yes,no,no,no,no,no,no,no,no,451
PLXND1,3,yes,no,no,no,no,no,no,no,no,452
DOK6,3,yes,no,no,no,no,no,no,no,no,453
DSP,3,yes,no,no,no,no,no,no,no,no,454
COL6A6,3,yes,no,no,no,no,no,no,no,no,455
COL6A5,3,yes,no,no,no,no,no,no,no,no,456
LAMA3,3,yes,no,no,no,no,no,no,no,no,457
CLDN9,3,yes,no,no,no,no,no,no,no,no,458
ITGA10,3,yes,no,no,no,no,no,no,no,no,459
GJB5,3,yes,no,no,no,no,no,no,no,no,460
KIRREL2,3,yes,no,no,no,no,no,no,no,no,461
AP2A2,3,yes,no,no,no,no,no,no,no,no,462
CDH24,3,yes,no,no,no,no,no,no,no,no,463
SEMA3E,3,yes,no,no,no,no,no,no,no,no,464
CASP7,3,yes,no,no,no,no,no,no,no,no,465
MPP5,3,yes,no,no,no,no,no,no,no,no,466
SDK1,3,yes,no,no,no,no,no,no,no,no,467
PAK5,3,yes,no,no,no,no,no,no,no,no,468
KCNQ2,3,yes,no,no,no,no,no,no,no,no,469
LIMS2,3,yes,no,no,no,no,no,no,no,no,470
GJC1,3,yes,no,no,no,no,no,no,no,no,471
DSCAML1,3,yes,no,no,no,no,no,no,no,no,472
SCN10A,3,yes,no,no,no,no,no,no,no,no,473
PTPRC,3,yes,no,no,no,no,no,no,no,no,474
ADD1,3,yes,no,no,no,no,no,no,no,no,475
CCT2,3,yes,no,no,no,no,no,no,no,no,476
RDX,3,yes,no,no,no,no,no,no,no,no,477
CACNA1H,3,yes,no,no,no,no,no,no,no,no,478
ITGA9,3,yes,no,no,no,no,no,no,no,no,479
ITGAV,3,yes,no,no,no,no,no,no,no,no,480
CNTN6,3,yes,no,no,no,no,no,no,no,no,481
TBCB,3,yes,no,no,no,no,no,no,no,no,482
CACNA1I,3,yes,no,no,no,no,no,no,no,no,483
RPS6KA6,3,yes,no,no,no,no,no,no,no,no,484
SH3GL2,3,yes,no,no,no,no,no,no,no,no,485
MAPK7,3,yes,no,no,no,no,no,no,no,no,486
BIRC2,3,yes,no,no,no,no,no,no,no,no,487
GJB1,3,yes,no,no,no,no,no,no,no,no,488
CLSPN,3,yes,no,no,no,no,no,no,no,no,489
MAPK14,3,yes,no,no,no,no,no,no,no,no,490
SIAH1,3,yes,no,no,no,no,no,no,no,no,491
COL6A3,3,yes,no,no,no,no,no,no,no,no,492
INPP5D,3,yes,no,no,no,no,no,no,no,no,493
VAV2,3,yes,no,no,no,no,no,no,no,no,494
CAP2,3,yes,no,no,no,no,no,no,no,no,495
ROCK2,3,yes,no,no,no,no,no,no,no,no,496
CLDN11,3,yes,no,no,no,no,no,no,no,no,497
COL3A1,3,yes,no,no,no,no,no,no,no,no,498
DYNC1I1,3,yes,no,no,no,no,no,no,no,no,499
SCN11A,3,yes,no,no,no,no,no,no,no,no,500
LAMC2,3,yes,no,no,no,no,no,no,no,no,501
TUBAL3,3,yes,no,no,no,no,no,no,no,no,502
PSMD5,3,yes,no,no,no,no,no,no,no,no,503
PSMB3,3,yes,no,no,no,no,no,no,no,no,504
RPS27A,3,yes,no,no,no,no,no,no,no,no,505
ACTN2,3,yes,no,no,no,no,no,no,no,no,506
PSMA4,3,yes,no,no,no,no,no,no,no,no,507
PSMB2,3,yes,no,no,no,no,no,no,no,no,508
TLN1,3,yes,no,no,no,no,no,no,no,no,509
RASA4,3,yes,no,no,no,no,no,no,no,no,510
CLTA,3,yes,no,no,no,no,no,no,no,no,511
PPP5C,3,yes,no,no,no,no,no,no,no,no,512
ITGA2B,3,yes,no,no,no,no,no,no,no,no,513
SYNGAP1,3,yes,no,no,no,no,no,no,no,no,514
RANBP9,3,yes,no,no,no,no,no,no,no,no,515
ITGB3,3,yes,no,no,no,no,no,no,no,no,516
RASGRP3,3,yes,no,no,no,no,no,no,no,no,517
IL3RA,3,yes,no,no,no,no,no,no,no,no,518
FGF4,3,yes,no,no,no,no,no,no,no,no,519
RAPGEF2,3,yes,no,no,no,no,no,no,no,no,520
NRG4,3,yes,no,no,no,no,no,no,no,no,521
KLB,3,yes,no,no,no,no,no,no,no,no,522
SPTA1,3,yes,no,no,no,no,no,no,no,no,523
FGF23,3,yes,no,no,no,no,no,no,no,no,524
IL2,3,yes,no,no,no,no,no,no,no,no,525
CSF2RA,3,yes,no,no,no,no,no,no,no,no,526
LAT,3,yes,no,no,no,no,no,no,no,no,527
CNKSR1,3,yes,no,no,no,no,no,no,no,no,528
NRG2,3,yes,no,no,no,no,no,no,no,no,529
VWF,3,yes,no,no,no,no,no,no,no,no,530
DYNC1LI1,3,yes,no,no,no,no,no,no,no,no,531
PVR,3,yes,no,no,no,no,no,no,no,no,532
NECTIN2,3,yes,no,no,no,no,no,no,no,no,533
MAPK12,3,yes,no,no,no,no,no,no,no,no,534
DNM1L,3,yes,no,no,no,no,no,no,no,no,535
PLXNB3,3,yes,no,no,no,no,no,no,no,no,536
GJA5,3,yes,no,no,no,no,no,no,no,no,537
CLDN16,3,yes,no,no,no,no,no,no,no,no,538
CCT5,3,yes,no,no,no,no,no,no,no,no,539
KALRN,3,yes,no,no,no,no,no,no,no,no,540
GIT1,3,yes,no,no,no,no,no,no,no,no,541
AP2B1,3,yes,no,no,no,no,no,no,no,no,542
CLDN15,3,yes,no,no,no,no,no,no,no,no,543
CCT7,3,yes,no,no,no,no,no,no,no,no,544
ACTR3,3,yes,no,no,no,no,no,no,no,no,545
ACTR2,3,yes,no,no,no,no,no,no,no,no,546
TRPC5,3,yes,no,no,no,no,no,no,no,no,547
TRPC6,3,yes,no,no,no,no,no,no,no,no,548
TRPC3,3,yes,no,no,no,no,no,no,no,no,549
GJB4,3,yes,no,no,no,no,no,no,no,no,550
GJB7,3,yes,no,no,no,no,no,no,no,no,551
TBCC,3,yes,no,no,no,no,no,no,no,no,552
ACTN4,3,yes,no,no,no,no,no,no,no,no,553
RPS6KA5,3,yes,no,no,no,no,no,no,no,no,554
MYO6,3,yes,no,no,no,no,no,no,no,no,555
SCN4A,3,yes,no,no,no,no,no,no,no,no,556
COL5A1,3,yes,no,no,no,no,no,no,no,no,557
ANK2,3,yes,no,no,no,no,no,no,no,no,558
PRKACG,3,yes,no,no,no,no,no,no,no,no,559
COL5A3,3,yes,no,no,no,no,no,no,no,no,560
TBCD,3,yes,no,no,no,no,no,no,no,no,561
SCN7A,3,yes,no,no,no,no,no,no,no,no,562
SCN5A,3,yes,no,no,no,no,no,no,no,no,563
DSG3,3,yes,no,no,no,no,no,no,no,no,564
CLDN12,3,yes,no,no,no,no,no,no,no,no,565
CDH17,3,yes,no,no,no,no,no,no,no,no,566
TRPC7,3,yes,no,no,no,no,no,no,no,no,567
GJB6,3,yes,no,no,no,no,no,no,no,no,568
DNAJA2,3,yes,no,no,no,no,no,no,no,no,569
LMNA,3,yes,no,no,no,no,no,no,no,no,570
CLDN7,3,yes,no,no,no,no,no,no,no,no,571
ACTR1A,3,yes,no,no,no,no,no,no,no,no,572
ARHGEF6,3,yes,no,no,no,no,no,no,no,no,573
MSN,3,yes,no,no,no,no,no,no,no,no,574
CLDN18,3,yes,no,no,no,no,no,no,no,no,575
DYNC1LI2,3,yes,no,no,no,no,no,no,no,no,576
DYNC1I2,3,yes,no,no,no,no,no,no,no,no,577
CAPZA3,3,yes,no,no,no,no,no,no,no,no,578
ARHGEF28,3,yes,no,no,no,no,no,no,no,no,579
DCTN4,3,yes,no,no,no,no,no,no,no,no,580
DCTN3,3,yes,no,no,no,no,no,no,no,no,581
PGR,3,yes,no,no,no,no,no,no,no,no,582
ACTN3,3,yes,no,no,no,no,no,no,no,no,583
KIF4B,3,yes,no,no,no,no,no,no,no,no,584
ABLIM2,3,yes,no,no,no,no,no,no,no,no,585
ACTN1,3,yes,no,no,no,no,no,no,no,no,586
CD151,3,yes,no,no,no,no,no,no,no,no,587
GJD3,3,yes,no,no,no,no,no,no,no,no,588
HMGB1,3,yes,no,no,no,no,no,no,no,no,589
ANK3,3,yes,no,no,no,no,no,no,no,no,590
THUMPD3,3,no,no,no,yes,no,no,no,no,no,591
SNRPA1,3,no,no,no,yes,no,no,no,no,no,592
RBM22,3,no,no,no,yes,no,no,no,no,no,593
GSK3A,3,no,no,no,yes,no,no,no,no,no,594
LCK,3,no,no,no,yes,no,no,no,no,no,595
EIF3B,3,no,no,no,yes,no,no,no,no,no,596
HNRNPF,3,no,no,no,yes,no,no,no,no,no,597
MAP3K2,3,no,no,no,yes,no,no,no,no,no,598
GMDS,3,no,no,no,yes,no,no,no,no,no,599
GRK2,3,no,no,no,yes,no,no,no,no,no,600
GRK3,3,no,no,no,yes,no,no,no,no,no,601
ATG3,3,no,no,no,yes,no,no,no,no,no,602
